Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,TotalIncome,LoanAmountToIncomeRatio,LoanAmount_Log,TotalIncome_Log,IncomePerDependent,EMI,EMIToIncomeRatio
LP001002,1,0,0,0,0,5849,0.0,128.0,360.0,1.0,Y,False,False,True,5849.0,0.021884082749187895,4.859812404361672,8.674196940225903,5849.0,10.666666666666666,0.0018236735624323245
LP001003,1,1,1,0,0,4583,1508.0,128.0,360.0,1.0,N,True,False,False,6091.0,0.0210146117222131,4.859812404361672,8.714731714015052,3045.5,10.666666666666666,0.0017512176435177584
LP001005,1,1,0,0,1,3000,0.0,66.0,360.0,1.0,Y,False,False,True,3000.0,0.022,4.204692619390966,8.006700845440367,3000.0,5.5,0.0018333333333333333
LP001006,1,1,0,1,0,2583,2358.0,120.0,360.0,1.0,Y,False,False,True,4941.0,0.024286581663630843,4.795790545596741,8.505525386548555,4941.0,10.0,0.0020238818053025702
LP001008,1,0,0,0,0,6000,0.0,141.0,360.0,1.0,Y,False,False,True,6000.0,0.0235,4.955827057601261,8.699681400989514,6000.0,11.75,0.001958333333333333
LP001011,1,1,2,0,1,5417,4196.0,267.0,360.0,1.0,Y,False,False,True,9613.0,0.027774888172266723,5.5909869805108565,9.170975648453906,3204.3333333333335,22.25,0.0023145740143555604
LP001013,1,1,0,1,0,2333,1516.0,95.0,360.0,1.0,Y,False,False,True,3849.0,0.024681735515718367,4.564348191467836,8.25582842728183,3849.0,7.916666666666667,0.0020568112929765306
LP001014,1,1,3,0,0,3036,2504.0,158.0,360.0,0.0,N,False,True,False,5540.0,0.02851985559566787,5.0689042022202315,8.61993026886735,1385.0,13.166666666666666,0.0023766546329723223
LP001018,1,1,2,0,0,4006,1526.0,168.0,360.0,1.0,Y,False,False,True,5532.0,0.03036876355748373,5.1298987149230735,8.618485442898109,1844.0,14.0,0.0025307302964569776
LP001020,1,1,1,0,0,12841,10968.0,349.0,360.0,1.0,N,False,True,False,23809.0,0.014658322483094628,5.857933154483459,10.077860939480908,11904.5,29.083333333333332,0.001221526873591219
LP001024,1,1,2,0,0,3200,700.0,70.0,360.0,1.0,Y,False,False,True,3900.0,0.017948717948717947,4.2626798770413155,8.268988209506656,1300.0,5.833333333333333,0.0014957264957264956
LP001027,1,1,2,0,0,2500,1840.0,109.0,360.0,1.0,Y,False,False,True,4340.0,0.02511520737327189,4.700480365792417,8.375860015299594,1446.6666666666667,9.083333333333334,0.0020929339477726576
LP001028,1,1,2,0,0,3073,8106.0,200.0,360.0,1.0,Y,False,False,True,11179.0,0.01789068789694964,5.303304908059076,9.32188174670909,3726.3333333333335,16.666666666666668,0.0014908906580791367
LP001029,1,0,0,0,0,1853,2840.0,114.0,360.0,1.0,N,True,False,False,4693.0,0.024291497975708502,4.74493212836325,8.454040376410969,4693.0,9.5,0.0020242914979757085
LP001030,1,1,2,0,0,1299,1086.0,17.0,120.0,1.0,Y,False,False,True,2385.0,0.007127882599580713,2.8903717578961645,7.777373602657861,795.0,4.25,0.0017819706498951782
LP001032,1,0,0,0,0,4950,0.0,125.0,360.0,1.0,Y,False,False,True,4950.0,0.025252525252525252,4.836281906951478,8.507344855361422,4950.0,10.416666666666666,0.0021043771043771043
LP001034,1,0,1,1,0,3596,0.0,100.0,240.0,1.0,Y,False,False,True,3596.0,0.027808676307007785,4.61512051684126,8.187855443695623,1798.0,12.5,0.003476084538375973
LP001036,0,0,0,0,0,3510,0.0,76.0,360.0,0.0,N,False,False,True,3510.0,0.021652421652421653,4.343805421853684,8.163656176168432,3510.0,6.333333333333333,0.0018043684710351375
LP001038,1,1,0,1,0,4887,0.0,133.0,360.0,1.0,N,True,False,False,4887.0,0.027215060364231634,4.897839799950911,8.494538500851432,4887.0,11.083333333333334,0.002267921697019303
LP001041,1,1,0,0,0,2600,3500.0,115.0,360.0,1.0,Y,False,False,True,6100.0,0.018852459016393444,4.7535901911063645,8.716207971151853,6100.0,9.583333333333334,0.0015710382513661203
LP001043,1,1,0,1,0,7660,0.0,104.0,360.0,0.0,N,False,False,True,7660.0,0.013577023498694517,4.653960350157523,8.94389780251682,7660.0,8.666666666666666,0.0011314186248912097
